date,total_active_player
2023-09-23,57806
2023-09-24,55549
2023-09-25,53727
2023-09-26,47056
2023-09-27,40616
2023-09-28,35729
2023-09-29,33280
2023-09-30,34548
2023-10-01,36143
2023-10-02,32770
2023-10-03,33300
2023-10-04,33391
2023-10-05,32620
2023-10-06,33774
2023-10-07,34991
2023-10-08,34981
2023-10-09,31679
2023-10-10,29652
2023-10-11,26828
2023-10-12,24111
2023-10-13,26715
2023-10-14,26226
2023-10-15,25593
2023-10-16,23035
2023-10-17,123654
2023-10-18,233778
2023-10-19,220255
2023-10-20,233941
2023-10-21,283639
2023-10-22,271270
2023-10-23,199503
2023-10-24,181955
2023-10-25,172024
2023-10-26,164106
2023-10-27,178399
2023-10-28,214268
2023-10-29,204023
2023-10-30,212477
2023-10-31,185342
2023-11-01,176243
2023-11-02,168752
2023-11-03,164684
2023-11-04,193890
2023-11-05,185864
2023-11-06,129999
2023-11-07,115324
2023-11-08,109171
2023-11-09,104856
2023-11-10,115492
2023-11-11,140344
2023-11-12,135130
2023-11-13,99885
2023-11-14,92793
2023-11-15,87279
2023-11-16,84233
2023-11-17,93484
2023-11-18,118968
2023-11-19,111623
2023-11-20,87300
2023-11-21,75984
2023-11-22,75187
2023-11-23,76202
2023-11-24,78787
2023-11-25,94547
2023-11-26,91957
2023-11-27,69251
2023-11-28,64868
2023-11-29,11468
